datetime,open,high,low,close,volume
2020-02-02 00:00:00,9380.18,9380.18,9351.92,9357.02,81.63135
2020-02-02 00:15:00,9357.02,9366.17,9345.31,9346.88,35.13270105
2020-02-02 00:30:00,9346.87,9353.14,9322.0,9352.02,62.26763258
2020-02-02 00:45:00,9352.02,9352.02,9310.0,9313.62,75.921622
2020-02-02 01:00:00,9313.61,9320.0,9303.0,9312.06,55.00316919
2020-02-02 01:15:00,9312.05,9328.95,9301.47,9324.06,64.63436661
2020-02-02 01:30:00,9324.07,9330.38,9315.01,9319.72,28.82110163
2020-02-02 01:45:00,9319.72,9335.07,9315.86,9315.91,79.12978096
2020-02-02 02:00:00,9315.92,9315.92,9248.0,9259.1,313.51899389
2020-02-02 02:15:00,9259.11,9273.68,9240.14,9264.2,78.76913297
2020-02-02 02:30:00,9264.19,9274.0,9231.82,9273.61,134.68406425
2020-02-02 02:45:00,9273.61,9282.46,9251.66,9256.48,58.33144933
2020-02-02 03:00:00,9256.49,9269.24,9241.46,9263.34,55.71993244
2020-02-02 03:15:00,9263.33,9275.0,9263.03,9270.22,85.5920921
2020-02-02 03:30:00,9270.22,9270.22,9240.48,9241.74,56.64747571
2020-02-02 03:45:00,9241.73,9257.77,9241.73,9256.25,20.5936407
2020-02-02 04:00:00,9254.73,9255.9,9140.0,9200.52,928.83592785
2020-02-02 04:15:00,9202.14,9242.34,9202.14,9239.64,60.5779472
2020-02-02 04:30:00,9242.34,9318.37,9242.33,9293.59,412.71738274
2020-02-02 04:45:00,9293.59,9322.33,9289.17,9312.98,55.88651376
2020-02-02 05:00:00,9312.97,9326.77,9288.77,9288.8,62.78053791
2020-02-02 05:15:00,9288.82,9317.33,9279.24,9290.92,71.99109177
2020-02-02 05:30:00,9290.0,9299.39,9287.14,9295.01,34.16527494
2020-02-02 05:45:00,9295.0,9311.29,9295.0,9300.14,15.96628381
2020-02-02 06:00:00,9300.14,9301.59,9277.77,9282.16,29.57482661
2020-02-02 06:15:00,9282.16,9318.22,9282.16,9309.95,25.50380475
2020-02-02 06:30:00,9309.95,9365.0,9309.95,9364.99,74.63131648
2020-02-02 06:45:00,9365.0,9369.0,9343.54,9351.3,62.86846234
2020-02-02 07:00:00,9351.42,9368.96,9347.75,9348.7,17.2786476
2020-02-02 07:15:00,9348.69,9365.0,9340.96,9358.97,27.39696534
2020-02-02 07:30:00,9358.98,9377.68,9345.65,9369.09,41.41273513
